filename, language, JSON, TypeScript, comment, blank, total
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\Models\UserModel.ts, TypeScript, 0, 12, 0, 3, 15
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\Security\GetUser.ts, TypeScript, 0, 19, 0, 2, 21
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\Security\OauthClient.ts, TypeScript, 0, 10, 0, 5, 15
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\Security\TokenVerification.ts, TypeScript, 0, 64, 4, 10, 78
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\host.json, JSON, 3, 0, 0, 1, 4
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\local.settings.json, JSON, 15, 0, 0, 1, 16
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\package-lock.json, JSON, 516, 0, 0, 1, 517
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\package.json, JSON, 28, 0, 0, 1, 29
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\proxies.json, JSON, 4, 0, 0, 1, 5
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\test.json, JSON, 1, 0, 0, 0, 1
c:\Users\zshuford\source\repos\FantasyCalendarTs\fc-functions\tsconfig.json, JSON, 10, 0, 0, 1, 11
Total, -, 849, 1356, 62, 197, 2464
